,ID,Season,Home,Away,HomeScore_tree,AwayScore_tree,HomeScore_Linear,AwayScore_Linear,HomeScore_KN,AwayScore_KN,HomeScore_RF,AwayScore_RF
102,102,2020,Vålerenga,Arna-Bjørnar,3,3,1,1,3,2,1,1
103,103,2020,Lyn,Kolbotn,0,1,1,2,1,1,0,1
104,104,2020,Trondheims-Ørn,Arna-Bjørnar,3,3,1,2,2,1,2,2
105,105,2020,Arna-Bjørnar,Trondheims-Ørn,2,0,2,1,3,1,2,0
106,106,2020,Sandviken,Klepp,0,1,0,1,1,2,0,1
107,107,2020,Røa,Sandviken,4,0,2,1,2,1,3,0
108,108,2020,Lyn,Trondheims-Ørn,2,3,2,2,1,1,2,2
109,109,2020,Sandviken,Kolbotn,1,2,2,0,2,1,1,2
110,110,2020,Trondheims-Ørn,Klepp,3,1,1,1,2,1,1,2
111,111,2020,Røa,Kolbotn,2,0,2,1,3,0,3,0
112,112,2020,Klepp,Avaldsnes,1,0,1,2,1,2,1,1
113,113,2020,LSK Kvinner,Røa,0,2,3,1,3,1,2,2
114,114,2020,Sandviken,Avaldsnes,0,1,1,2,1,2,0,2
115,115,2020,Arna-Bjørnar,Sandviken,0,1,2,0,2,0,3,0
116,116,2020,Vålerenga,Kolbotn,2,0,2,0,3,1,2,0
117,117,2020,Arna-Bjørnar,Trondheims-Ørn,2,0,2,1,3,1,2,0
118,118,2020,Røa,Trondheims-Ørn,4,1,2,2,3,2,3,1
119,119,2020,Sandviken,Vålerenga,0,0,1,1,1,2,1,2
120,120,2020,Trondheims-Ørn,Kolbotn,3,2,2,1,2,1,3,2
121,121,2020,Røa,Klepp,0,1,1,1,1,1,1,1
122,122,2020,LSK Kvinner,Arna-Bjørnar,3,0,3,1,3,1,3,2
123,123,2020,LSK Kvinner,Lyn,2,1,4,1,3,0,3,1
124,124,2020,Kolbotn,Trondheims-Ørn,0,1,1,2,0,1,0,1
125,125,2020,Røa,Lyn,1,2,3,1,4,1,2,2
126,126,2020,Avaldsnes,Trondheims-Ørn,6,0,2,1,2,2,3,1
127,127,2020,Vålerenga,Lyn,6,1,3,1,4,1,5,1
128,128,2020,Lyn,Trondheims-Ørn,2,3,2,2,1,1,2,2
129,129,2020,Klepp,Sandviken,0,0,2,1,2,0,1,0
130,130,2020,Avaldsnes,Lyn,3,0,2,1,2,1,3,0
131,131,2020,Lyn,Arna-Bjørnar,3,4,1,3,0,2,1,3
132,132,2020,Klepp,Kolbotn,4,1,2,1,2,0,3,1
133,133,2020,Vålerenga,LSK Kvinner,2,5,1,2,2,2,2,4
134,134,2020,Medkila,Kolbotn,1,3,1,2,1,2,1,3
135,135,2020,Lyn,Klepp,0,1,0,2,1,2,0,1
136,136,2020,Røa,Arna-Bjørnar,4,0,2,2,3,3,3,2
137,137,2020,Arna-Bjørnar,Avaldsnes,0,3,1,1,1,2,0,2
138,138,2020,Klepp,Lyn,3,2,3,1,3,1,3,1
139,139,2020,Avaldsnes,Sandviken,6,0,3,0,4,0,5,0
140,140,2020,Arna-Bjørnar,Lyn,2,1,3,1,4,0,3,1
141,141,2020,Avaldsnes,Klepp,2,2,1,0,2,1,2,1
142,142,2020,Vålerenga,LSK Kvinner,2,5,1,2,2,2,2,4
143,143,2020,LSK Kvinner,Kolbotn,4,3,3,0,3,0,3,1
144,144,2020,Lyn,Klepp,0,1,0,2,1,2,0,1
145,145,2020,Klepp,Røa,1,1,1,1,1,1,1,1
146,146,2020,Klepp,Trondheims-Ørn,0,0,2,1,3,1,2,1
147,147,2020,Røa,Avaldsnes,3,3,1,2,2,2,2,2
148,148,2020,Avaldsnes,Vålerenga,2,1,3,1,1,1,2,1
149,149,2020,Medkila,Kolbotn,1,3,1,2,1,2,1,3
150,150,2020,Røa,Trondheims-Ørn,4,1,2,2,3,2,3,1
151,151,2020,Kolbotn,Lyn,3,3,2,1,4,1,3,2
152,152,2020,Vålerenga,Arna-Bjørnar,3,3,1,1,3,2,1,1
153,153,2020,Trondheims-Ørn,LSK Kvinner,4,1,1,3,2,3,3,2
154,154,2020,LSK Kvinner,Sandviken,3,0,3,0,3,0,3,0
155,155,2020,Kolbotn,LSK Kvinner,1,4,0,3,1,4,1,4
156,156,2020,LSK Kvinner,Trondheims-Ørn,3,0,3,1,3,1,3,0
157,157,2020,Avaldsnes,Røa,2,2,2,1,3,0,2,1
158,158,2020,Arna-Bjørnar,Klepp,3,1,1,1,1,1,2,1
159,159,2020,Trondheims-Ørn,Avaldsnes,1,3,1,2,0,2,1,3
160,160,2020,Arna-Bjørnar,Røa,0,1,1,1,2,2,1,1
161,161,2020,Klepp,Kolbotn,4,1,2,1,2,0,3,1
162,162,2020,Lyn,Røa,1,0,2,3,1,2,1,2
163,163,2020,Sandviken,Arna-Bjørnar,2,0,1,1,1,2,1,0
164,164,2020,Sandviken,Vålerenga,0,0,1,1,1,2,1,2
165,165,2020,Vålerenga,Kolbotn,2,0,2,0,3,1,2,0
166,166,2020,LSK Kvinner,Vålerenga,3,0,3,1,3,1,3,1
167,167,2020,LSK Kvinner,Lyn,2,1,4,1,3,0,3,1
168,168,2020,Lyn,Vålerenga,0,1,1,2,1,1,0,2
169,169,2020,Sandviken,LSK Kvinner,2,2,0,2,2,3,1,3
170,170,2020,Kolbotn,Vålerenga,0,2,1,2,0,1,0,2
171,171,2020,Kolbotn,Lyn,3,3,2,1,4,1,3,2
172,172,2020,Trondheims-Ørn,LSK Kvinner,4,1,1,3,2,3,3,2
173,173,2020,Sandviken,Kolbotn,1,2,2,0,2,1,1,2
174,174,2020,Kolbotn,Sandviken,1,1,1,1,2,1,1,1
175,175,2020,Sandviken,Avaldsnes,0,1,1,2,1,2,0,2
176,176,2020,Arna-Bjørnar,LSK Kvinner,1,1,1,2,1,3,1,2
177,177,2020,Avaldsnes,Lyn,3,0,2,1,2,1,3,0
178,178,2020,Arna-Bjørnar,Sandviken,0,1,2,0,2,0,3,0
179,179,2020,Sandviken,Arna-Bjørnar,2,0,1,1,1,2,1,0
180,180,2020,Røa,LSK Kvinner,0,1,1,3,1,2,1,2
181,181,2020,Kolbotn,LSK Kvinner,1,4,0,3,1,4,1,4
182,182,2020,Røa,Arna-Bjørnar,4,0,2,2,3,3,3,2
183,183,2020,Lyn,Sandviken,3,3,1,2,1,2,1,2
